"id","person_id","occupation_id"
1034,1106,3
1035,1106,4
1036,1106,29
1037,1107,3
1038,1108,6
1039,1109,3
1040,1110,70
1041,1110,66
1042,1112,4
1043,1113,3
1045,1117,3
1046,1117,28
1047,1118,6
1048,1119,7
1049,1121,7
1050,1121,1
1051,1121,6
1056,1127,6
1057,1127,7
1058,1128,3
1059,1129,6
1060,1131,3
1065,1134,35
1066,1134,36
1067,1135,3
1068,1135,4
1069,1135,37
1070,1135,19
1071,1137,11
1072,1139,6
1074,1141,3
1076,1143,5
1077,1143,16
1079,1147,3
1080,1147,4
1081,1148,16
1082,1148,5
1083,1151,3
1084,1151,4
1085,1152,4
1086,1152,7
1087,1152,19
1088,1153,1
1089,1154,5
1090,1155,4
1091,1159,7
1092,1160,7
1093,1160,3
1094,1160,40
1095,1160,49
1096,1162,3
1097,1164,3
1098,1165,3
1099,1166,16
1100,1167,11
1101,1167,1
1102,1169,21
1103,1169,3
1104,1173,5
1105,1173,13
1106,1173,7
1107,1173,18
1108,1177,6
1109,1179,7
1110,1179,11
1111,1180,16
1112,1181,3
1113,1182,19
1114,1184,29
1115,1185,4
1116,1185,29
1117,1186,14
1118,1188,26
1119,1188,18
1120,1189,35
1122,1193,7
1123,1193,9
1124,1194,71
1125,1194,72
1126,1194,18
1127,1195,16
1128,1196,34
1129,1197,3
1130,1198,11
1132,1200,3
1133,1204,35
1135,1207,3
1136,1209,3
1137,1210,3
1139,1214,3
1140,1218,3
1141,1218,6
1142,1220,11
1143,1221,20
1144,1221,11
1145,1222,21
1146,1222,5
1147,1224,16
1148,1225,74
1149,1225,39
1150,1226,3
1151,1226,1
1152,1227,16
1153,1230,17
1154,1231,4
1155,1232,7
1157,1235,16
1158,1235,5
1159,1235,7
1160,1236,7
1161,1236,38
1162,1237,3
1163,1238,16
1164,1239,7
1165,1240,32
1166,1240,6
1167,1240,18
1168,1241,7
1169,1241,3
1170,1242,3
1171,1242,5
1172,1244,5
1173,1244,11
1174,1245,9
1175,1245,11
1176,1246,3
1177,1250,3
1178,1253,3
1179,1253,4
1180,1255,72
1181,1255,60
1182,1257,3
1183,1258,16
1184,1260,75
1185,1260,40
1186,1262,11
1187,1263,43
1188,1264,17
1189,1265,3
1190,1266,28
1191,1266,5
1192,1267,10
1195,1271,4
1196,1272,4
1197,1272,76
1198,1273,16
1200,1276,17
1201,1276,3
1202,1276,77
1204,1279,7
1205,1279,28
1206,1283,11
1207,1283,5
1208,1284,21
1209,1286,16
1210,1288,5
1211,1292,3
1212,1293,3
1213,1293,4
1215,1295,3
1216,1296,21
1217,1296,30
1218,1296,5
1219,1298,3
1220,1298,7
1221,1299,16
1222,1300,7
1223,1300,19
1224,1301,6
1225,1307,4
1226,1308,3
1227,1308,4
1228,1309,21
1229,1309,5
1230,1310,7
1231,1310,3
1232,1311,16
1233,1314,11
1234,1315,3
1235,1317,23
1236,1318,16
1237,1319,13
